ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2133424,HH347116,05/03/2002 11:55:00 AM,035XX W THOMAS ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,true,false,1121,011,27,23,18,1152374,1907096,2002,04/15/2016 08:55:02 AM,41.900935675,-87.71576283,"(41.900935675, -87.71576283)"
2133425,HH346902,05/03/2002 01:05:00 PM,009XX W 50TH ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,true,false,0921,009,20,61,18,1170948,1871679,2002,04/15/2016 08:55:02 AM,41.803361324,-87.648576736,"(41.803361324, -87.648576736)"
2133426,HH375361,05/16/2002 10:10:32 AM,028XX W WASHINGTON BLVD,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1331,012,2,27,05,1157531,1900558,2002,04/15/2016 08:55:02 AM,41.882891377,-87.696998811,"(41.882891377, -87.696998811)"
2133427,HH375764,05/15/2002 12:00:00 PM,018XX N WASHTENAW AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1421,014,1,22,07,1158082,1912040,2002,04/15/2016 08:55:02 AM,41.914387746,-87.694661637,"(41.914387746, -87.694661637)"
2133428,HH365325,05/11/2002 06:26:37 PM,026XX W VAN BUREN ST,2027,NARCOTICS,POSS: CRACK,STREET,true,false,1125,011,28,27,18,1158892,1898067,2002,04/15/2016 08:55:02 AM,41.876028038,-87.692069498,"(41.876028038, -87.692069498)"
2133430,HH362734,05/10/2002 05:07:35 PM,061XX S COTTAGE GROVE AVE,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,ALLEY,true,false,0313,003,20,42,18,1182621,1864438,2002,04/15/2016 08:55:02 AM,41.78322823,-87.605991312,"(41.78322823, -87.605991312)"
2133432,HH371952,05/14/2002 07:29:26 PM,0000X S STATE ST,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,true,false,0123,001,42,32,06,1176389,1900278,2002,04/15/2016 08:55:02 AM,41.88171846,-87.627760426,"(41.88171846, -87.627760426)"
2133433,HH372824,05/14/2002 10:10:00 AM,005XX N SAWYER AVE,3960,INTIMIDATION,INTIMIDATION,RESIDENCE,false,false,1121,011,27,23,26,1154612,1903479,2002,04/15/2016 08:55:02 AM,41.890965782,-87.707639334,"(41.890965782, -87.707639334)"
2133434,HH375782,05/16/2002 07:00:00 AM,039XX W MAYPOLE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1122,011,28,26,06,1150120,1900925,2002,04/15/2016 08:55:02 AM,41.884046033,-87.724202916,"(41.884046033, -87.724202916)"
2133435,HH371847,05/14/2002 06:30:24 PM,046XX S LANGLEY AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,0222,002,4,38,02,1181715,1874366,2002,04/15/2016 08:55:02 AM,41.810492499,-87.609006268,"(41.810492499, -87.609006268)"
