
"State","IL"
"County","Cook"
"Fast-food restaurants, 2007","4005"
"Fast-food restaurants, 2012","4322"
"Fast-food restaurants (% change), 2007-12","7.915106"
"Fast-food restaurants/1,000 pop, 2007","0.764932"
"Fast-food restaurants/1,000 pop, 2012","0.826173"
"Fast-food restaurants/1,000 pop (% change), 2007-12","8.006099"
"Full-service restaurants, 2007","3516"
"Full-service restaurants, 2012","3642"
"Full-service restaurants (% change), 2007-12","3.583618"
"Full-service restaurants/1,000 pop, 2007","0.671535"
"Full-service restaurants/1,000 pop, 2012","0.696187"
"Full-service restaurants/1,000 pop (% change), 2007-12","3.670958"
"Expenditures per capita, fast food, 2002*","472"
"Expenditures per capita, fast food, 2007*","629.814435"
"Expenditures per capita, restaurants, 2002*","476"
"Expenditures per capita, restaurants, 2007*","646.259252"
