Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,
"MARSH SUPERMARKET 104",-86.264023,39.91082,"5830 W 86th St","","Indianapolis","IN","46278","1408","MARION" 
"Grillmaster Choice Meats Inc",-85.069016,41.074562,"5436 Old Maumee Rd","","Ft Wayne","IN","46803","","ALLEN" 
"POOLE FOODS",-85.822083,40.790771,"162 Smith St","","Wabash","IN","46992","3322","WABASH" 
"DOLLAR GENERAL 1988",-86.120667,39.707462,"4060 S Keystone Ave","","Indianapolis","IN","46227","8621","MARION" 
"DOLLAR GENERAL 3389",-86.383362,39.838459,"830 E Main St","","Brownsburg","IN","46112","1426","HENDRICKS" 
"DOLLAR GENERAL 3616",-86.236794,39.714916,"3473 Kentucky Ave","","Indianapolis","IN","46221","2308","MARION" 
"DOLLAR GENERAL 4361",-86.149025,39.713009,"3644 S East St","","Indianapolis","IN","46227","1239","MARION" 
"Dollar General 4362",-86.158417,39.632473,"1140 N SR 135","","Greenwood","IN","46142","9414","JOHNSON" 
"DOLLAR GENERAL 4364",-86.108849,39.61097,"358 S Madison Ave","","Greenwood","IN","46142","3125","JOHNSON" 
"DOLLAR GENERAL 1620",-87.492271,37.947762,"4829 Pollack Ave","","Evansville","IN","47715","5750","VANDERBURGH" 
"DOLLAR GENERAL 7303",-86.354897,39.62598,"650 S State Road 67","","Mooresville","IN","46158","2796","MORGAN" 
"DOLLAR GENERAL 7403",-86.372551,39.711746,"2205 E Main St","","Plainfield","IN","46168","1817","HENDRICKS" 
"DOLLAR GENERAL 2693",-87.577232,38.018021,"925 North Park Dr","","Evansville","IN","47710","3629","VANDERBURGH" 
"DOLLAR GENERAL 2773",-84.927109,39.824684,"1807 National Rd W","","Richmond","IN","47374","3849","WAYNE" 
"DOLLAR GENERAL 9114",-86.497162,39.763721,"180 Old Farm Rd","","Danville","IN","46122","1433","HENDRICKS" 
"DOLLAR GENERAL 1842",-86.026779,40.046993,"567 Westfield Rd","","Noblesville","IN","46060","1321","HAMILTON" 
"DOLLAR GENERAL 6631",-86.264763,39.797699,"2310 Cunningham Rd","","Indianapolis","IN","46224","3702","MARION" 
"DOLLAR GENERAL 7817",-86.861015,38.2244,"1801 SR 162","","Ferdinand","IN","47532","9124","DUBOIS" 
"DOLLAR GENERAL 2910",-84.840652,39.831097,"4481 National Rd E","","Richmond","IN","47374","3729","WAYNE" 
"DOLLAR GENERAL 9482",-87.306396,39.392418,"7205 S State Road 46","","Terre Haute","IN","47802","9316","VIGO" 
"Summit Market",-85.130707,41.037052,"5008 Decatur Rd","","Fort Wayne","IN","46806","3009","ALLEN" 
"GOSPORT VALUE MARKET",-86.663826,39.349216,"118 E MAIN ST","","GOSPORT","IN","47433","","OWEN" 
"DOLLAR GENERAL 1134",-85.803581,38.740623,"170 S Highway 31","","Austin","IN","47102","1326","SCOTT" 
"DOLLAR GENERAL 1548",-85.501091,40.171371,"9830 W Smith St","","Yorktown","IN","47396","1101","DELAWARE" 
"DOLLAR GENERAL 2763",-87.555519,37.999374,"607 E Diamond Ave","","Evansville","IN","47711","3717","VANDERBURGH" 
"DOLLAR GENERAL 3083",-85.01358,41.635178,"1200 W Maumee St","","Angola","IN","46703","1347","STEUBEN" 
"DOLLAR GENERAL 3313",-85.794769,41.559967,"2010 Lincolnway E","","Goshen","IN","46526","6413","ELKHART" 
"DOLLAR GENERAL 3723",-85.871262,41.24773,"1007 Warren St","","Warsaw","IN","46580","2534","KOSCIUSKO" 
"Dollar General 4509",-86.938194,38.42857,"4117 N Mannheim Rd","","Jasper","IN","47546","9625","DUBOIS" 
"DOLLAR GENERAL 6626",-87.487907,37.995098,"5033 Theatre Dr","","Evansville","IN","47715","8537","VANDERBURGH" 
"DOLLAR GENERAL 7258",-85.819763,40.779911,"1850 S Wabash St","","Wabash","IN","46992","4120","WABASH" 
"DOLLAR GENERAL 7393",-85.934998,41.646572,"3517 S Main St","","Elkhart","IN","46517","3123","ELKHART" 
"Springville Petroleum",-86.856621,41.733143,"2909 E US Highway 12","","Michigan City","IN","46360","2181","LA PORTE" 
"DOLLAR GENERAL 7654",-86.026505,41.173477,"9554 West SR 25","","MENTONE","IN","46539","0513","KOSCIUSKO" 
"DOLLAR GENERAL 9288",-85.854309,40.069874,"620 W Pendleton Ave","","Lapel","IN","46051","9668","MADISON" 
"Dollar General 9721",-87.599945,38.007172,"3020 N Saint Joseph Ave","","Evansville","IN","47720","1346","VANDERBURGH" 
"CVS 6463",-86.216354,41.694469,"2210 Edison Rd","","South Bend","IN","46615","3514","ST JOSEPH" 
"CARNICERIA MI MEXICO",-86.027084,39.834049,"4240 N Franklin Rd","","Indianapolis","IN","46226","4193","MARION" 
