La Fiesta Market,-86.85836,40.42321,608 Sagamore Pkwy N,,Lafayette,IN,47904,2717,TIPPECANOE 
DOLLAR GENERAL 6814,-86.961937,40.457596,2752 Klondike Rd,,West Lafayette,IN,47906,5205,TIPPECANOE 
FAMILY EXPRESS 38,-86.879829,40.446743,2610 N 9th Street Rd,,Lafayette,IN,47904,1052,TIPPECANOE 
FAMILY EXPRESS 39,-86.835487,40.387283,3983 State Road 38 E,,Lafayette,IN,47905,9464,TIPPECANOE 
FAMILY EXPRESS 43,-86.840874,40.462292,3015 State Road 25 N,,Lafayette,IN,47905,8825,TIPPECANOE 
FAMILY EXPRESS 41,-86.835915,40.376781,3350 US Highway 52 S,,Lafayette,IN,47905,7701,TIPPECANOE 
Walmart 3851,-86.831169,40.29921,2347 Veterans Memorial Pkwy S,,Lafayette,IN,47909,9183,TIPPECANOE 
KROGER J 843,-86.870605,40.43214,2200 Greenbush St,,Lafayette,IN,47904,2342,TIPPECANOE 
D & R Specialities Inc,-86.838913,40.418537,105 N Creasy Ln,,Lafayette,IN,47905,4412,TIPPECANOE 
DOLLAR TREE 0514,-86.901924,40.387894,109 Beck Ln,Ste 111,Lafayette,IN,47909,2858,TIPPECANOE 
Dollar General 10819,-86.838959,40.41925,101 N Creasy Ln,Ste A,Lafayette,IN,47905,4412,TIPPECANOE 
La Chiquita,-86.85836,40.431782,1440 Sagamore Pkwy N Ste 2,,Lafayette,IN,47904,2472,TIPPECANOE 
Morrison's,-86.761429,40.524647,7420 State Road 25 N,,Lafayette,IN,47905,8209,TIPPECANOE 
Circle K 2240,-86.914444,40.431763,706 Northwestern Ave,,Lafayette,IN,47906,2659,TIPPECANOE 
Walgreens 10974,-86.904686,40.388096,2800 US Highway 231 S,,Lafayette,IN,47909,2831,TIPPECANOE 
Walgreens 10858,-86.83902,40.41663,130 S Creasy Ln,,Lafayette,IN,47905,749,TIPPECANOE 
Jalisco Grocery,-86.858482,40.402794,3315 McCarty Ln,,Lafayette,IN,47905,2261,TIPPECANOE 
Papa Murphy's Pizza,-86.868713,40.395554,2324 Teal Rd,,Lafayette,IN,47905,2219,TIPPECANOE 
The Sunspot Natural Market 2,-86.912148,40.453449,500 W Sagamore Parkway,,West Lafayette,IN,47906,,TIPPECANOE 
Stockwell Market,-86.77169,40.286133,6943 Monroe St,,Stockwell,IN,47983,,TIPPECANOE 
Sam's Club 8169,-86.837883,40.417522,3819 St Rd 26 E,,Lafayette,IN,47905,,TIPPECANOE 
CVS 8651,-86.914642,40.453369,512 Sagamore Pkwy W,,West Lafayette,IN,47906,1458,TIPPECANOE 
CVS 8652,-86.858139,40.416309,50 Sagamore Pkwy S,,Lafayette,IN,47904,2822,TIPPECANOE 
CVS 8657,-86.878639,40.425556,1725 Salem St,,Lafayette,IN,47904,2105,TIPPECANOE 
Family Dollar 7109,-86.880043,40.395466,1400 Teal Rd,Ste 15,Lafayette,IN,47905,2463,TIPPECANOE 
Dollar Tree 1809,-86.838928,40.413879,200 S Creasy Ln,Ste 2020,Lafayette,IN,47905,761,TIPPECANOE 
Aldi 60,-86.908836,40.453209,210 Sagamore Pkwy W,,West Lafayette,IN,47906,1502,TIPPECANOE 
Circle K 2300,-86.860962,40.419098,3112 Ferry St,,Lafayette,IN,47904,3041,TIPPECANOE 
CVS 8680,-86.904694,40.387989,2806 US Highway 231 S,,Lafayette,IN,47909,2831,TIPPECANOE 
OM C Store,-86.861473,40.417606,3116 South St,,Lafayette,IN,47904,3043,TIPPECANOE 
